name	description	external_url	background_color	youtube_url	additional	properties	can be	added
0	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
1	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
2	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
3	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
4	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
5	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
6	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
7	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
8	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
9	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
10	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
11	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
12	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
13	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
14	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
15	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
16	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
17	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
18	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
19	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
20	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
21	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
22	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
23	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
24	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
25	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
26	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
27	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
28	Token 0 Description	https://thirdweb.com	#0098EE		every	row	is a 	property
